feature,question,rel_question,labels
my doubt What is your Mother Tongue?,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,What is your Mother Tongue? How many languages do you know? My Mother tongue is Urdu Other Languages : English; Tamil ;hindi ; Arabic,Irrelevant
my doubt Best butter chicken in Doha is...?,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,I've been in Doha for quite a while now; but I still haven't experienced really authentic butter chicken like the ones you get in India. The butter chicken over here is a bit bland to serve the arabian palate and doesn't do the dish justice. Any suggestions where you can get the real deal? FYI I've been to Shaalimaar (the Indian restaurant near the airport); Bukhara and AliShaan but none of them cut it; for me at least.,Irrelevant
is there any temple in qatar ...... Is there any buddha temple in Qatar ?,Hi; as most indians live in qatar.... is there any temple in qatar.....,I just arrived at Qatar 3 days ago but I cannot find any temple to burn offering for thanks giving for safety arrival. ANyone know here ?,Relevant
is there any temple in qatar ...... temple in doha,Hi; as most indians live in qatar.... is there any temple in qatar.....,is there any temples in doha.in and around?,Relevant
is there any temple in qatar ...... Indian gods,Hi; as most indians live in qatar.... is there any temple in qatar.....,Hi all; I am taking up an assignment in Qatar and would like to know whether it is allowed to carry photos of Indian gods to Qatar?,PerfectMatch
is there any temple in qatar ...... That church in Abu Hamour...,Hi; as most indians live in qatar.... is there any temple in qatar.....,Is this a beginning of a mutual friendship between Christianity and Islam in Qatar? I hope they're going to sell some Bibles in Villagio coz I can't find somebody sellin' it around here.,Irrelevant
is there any temple in qatar ...... did i hear it right??,Hi; as most indians live in qatar.... is there any temple in qatar.....,that there's gonna be a temple built here?,PerfectMatch
is there any temple in qatar ...... Masonic Lodge,Hi; as most indians live in qatar.... is there any temple in qatar.....,Does anyone know if there is a Lodge in Qatar?,Irrelevant
is there any temple in qatar ...... Sri Lanka,Hi; as most indians live in qatar.... is there any temple in qatar.....,One question for those of you who have travelled to Sri Lanka on holidays and for them Sri Lankas here in Doha. How would you advise me to spend 10 days in Sri Lanka in August? How would you plan my itininary? I like nature; historical place; good street food; mountains; rivers. I will spend minimal time in the hotel. Thank you all for your advice.,Irrelevant
is there any temple in qatar ...... END OF THE WORLD on DEC 21;2012--is it true??,Hi; as most indians live in qatar.... is there any temple in qatar.....,http://forum.santabanta.com/showthread.htm?t=146018 . Guys; above link is about END OF THE WORLD BY DEC 21;2012 . Is it true??? Any proof with anybody out there,Irrelevant
is there any temple in qatar ...... Atheism in Qatar and in Muslim world,Hi; as most indians live in qatar.... is there any temple in qatar.....,How is atheism regarded in Qatar and in the Muslim world in general? Do atheists in Qatar face official discrmination?,Irrelevant
Who is the Best Hijacker here in QL? What is the best way to hijack a thread?,Please Comment :),This is a new skill I am trying to master; how about some advise from some experts on the topic,PerfectMatch
Who is the Best Hijacker here in QL? Forum HiJackers,Please Comment :),Now a days most of the times in QL you look up a forum and see the forum is hijacked by irrelevant posts Who do you think is the Hijacker NO 1 or QL Cyberjacker? Let us crown the king today.. haha Most importantly; how much do you think this hijacking is effecting QL ?,PerfectMatch
Who is the Best Hijacker here in QL? Is QL now the rizks and pajju show ?,Please Comment :),It seems to me that EVERY topic is now getting hijacked by rizks and pajju. Im all for a bit of hijacking; cos it can lead to other discussions; but these two clowns just destroy every topic into a stupid dim witted conversation about bollox. C'mon guys; just dont hijack to get points; please add some ideas and thoughts into the chosen topic.,Relevant
Who is the Best Hijacker here in QL? FINALLY HERE :),Please Comment :),hello good people! how are you all doing? I am finally here and it is so awesome!! special thanks to KSA.. thank you for all your help and to everyone in general; you have already made my move so special. i look forward to meeting you all soon... i dont have enough points (according to some people for certain events) but I WILL MEET YOU!! lol!!! I start my first day of work today :( wish me luck! Take care.,Irrelevant
